#OBS: Time(MJD) filter ignore flux flux_err mag mag_err
OBS: 55095.4 r NULL  -8.588 21.669 nan -2.739
OBS: 55098.4 r NULL  69.133 19.292 -9.599 0.303
OBS: 55389.5 r NULL  2.105 16.015 -5.808 8.259
OBS: 55398.5 r NULL  24.985 23.536 -8.494 1.023
OBS: 55410.5 r NULL  -14.354 21.764 nan -1.646
OBS: 55413.4 r NULL  -15.038 17.607 nan -1.271
OBS: 55416.5 r NULL  12.559 19.209 -7.747 1.661
OBS: 55422.5 r NULL  24.401 18.167 -8.469 0.808
OBS: 55425.4 r NULL  -16.319 15.802 nan -1.051
OBS: 55428.5 r NULL  -10.977 16.485 nan -1.631
OBS: 55437.5 r NULL  -30.292 23.957 nan -0.859
OBS: 55440.5 r NULL  6.960 17.937 -7.106 2.798
OBS: 55443.5 r NULL  20.358 18.956 -8.272 1.011
OBS: 55446.5 r NULL  22.005 19.952 -8.356 0.984
OBS: 55449.4 r NULL  4.251 17.321 -6.571 4.424
OBS: 55452.4 r NULL  15.498 19.954 -7.976 1.398
OBS: 55458.3 r NULL  -28.462 25.060 nan -0.956
OBS: 55467.4 r NULL  -8.562 17.970 nan -2.279
OBS: 55473.3 r NULL  -58.154 21.871 nan -0.408
OBS: 55479.2 r NULL  -14.921 18.816 nan -1.369
OBS: 55482.3 r NULL  6.564 19.209 -7.043 3.177
OBS: 55500.2 r NULL  -3.284 17.245 nan -5.702
OBS: 55503.3 r NULL  -16.691 17.831 nan -1.160
OBS: 55530.2 r NULL  24.466 20.776 -8.471 0.922
OBS: 55536.2 r NULL  24.733 18.880 -8.483 0.829
OBS: 55743.6 r NULL  5.079 17.762 -6.764 3.797
OBS: 55764.6 r NULL  41.865 18.222 -9.055 0.473
OBS: 55767.6 r NULL  -3.807 16.939 nan -4.832
OBS: 55770.5 r NULL  4.497 16.510 -6.632 3.986
OBS: 55773.6 r NULL  15.063 18.343 -7.945 1.322
OBS: 55779.6 r NULL  -4.729 16.084 nan -3.693
OBS: 55782.4 r NULL  6.504 24.337 -7.033 4.062
OBS: 55794.5 r NULL  -6.467 17.936 nan -3.011
OBS: 55797.5 r NULL  2.804 16.315 -6.120 6.317
OBS: 55800.3 r NULL  -64.044 26.255 nan -0.445
OBS: 55803.5 r NULL  -4.979 17.014 nan -3.710
OBS: 55806.4 r NULL  -4.846 17.776 nan -3.983
OBS: 55821.3 r NULL  -21.964 18.114 nan -0.895
OBS: 55824.3 r NULL  19.323 17.924 -8.215 1.007
OBS: 55829.3 r NULL  7.209 17.371 -7.145 2.616
OBS: 55833.3 r NULL  28.975 31.261 -8.655 1.171
OBS: 55836.2 r NULL  18.529 22.297 -8.170 1.307
OBS: 55839.4 r NULL  -94.504 28.923 nan -0.332
OBS: 55852.3 r NULL  2.824 17.486 -6.127 6.724
OBS: 55855.2 r NULL  11.223 18.425 -7.625 1.782
OBS: 55858.3 r NULL  20.154 16.353 -8.261 0.881
OBS: 55859.4 r NULL  -5.499 17.082 nan -3.373
OBS: 55863.3 r NULL  10.954 16.460 -7.599 1.632
OBS: 56147.5 r NULL  77159.054 1355.650 -17.218 0.019
OBS: 56150.5 r NULL  82100.363 1471.332 -17.286 0.019
OBS: 56154.5 r NULL  77978.817 397.101 -17.230 0.006
OBS: 56161.4 r NULL  64300.899 316.897 -17.021 0.005
OBS: 56164.4 r NULL  58081.265 334.552 -16.910 0.006
OBS: 56176.4 r NULL  34362.518 296.936 -16.340 0.009
OBS: 56206.2 r NULL  16050.474 192.071 -15.514 0.013
OBS: 56209.2 r NULL  15524.273 248.679 -15.478 0.017
OBS: 56213.3 r NULL  14435.046 78.121 -15.399 0.006
OBS: 56217.3 r NULL  13841.663 129.597 -15.353 0.010
OBS: 56220.3 r NULL  13162.895 59.375 -15.298 0.005
OBS: 56242.3 r NULL  10117.940 53.472 -15.013 0.006
OBS: 56285.2 r NULL  6166.377 79.282 -14.475 0.014
OBS: 56475.6 r NULL  551.057 18.342 -11.853 0.036
OBS: 56479.5 r NULL  488.182 21.410 -11.721 0.048
OBS: 56486.6 r NULL  462.932 20.016 -11.664 0.047
OBS: 56489.5 r NULL  432.141 20.017 -11.589 0.050
